key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
h0001,h0001.mp3,6.922375,3,0.0,0.0,1.030159,1.030159
h0001,h0001.mp3,6.922375,3,1.0,3.284286,4.2878,1.003515
h0001,h0001.mp3,6.922375,3,2.0,5.061134,6.091474,1.03034
h0002,h0002.mp3,6.79175,3,0.0,0.0,1.027778,1.027778
h0002,h0002.mp3,6.79175,3,1.0,3.062268,4.072358,1.010091
h0002,h0002.mp3,6.79175,3,2.0,4.861746,5.898912,1.037166
h0003,h0003.mp3,6.870125,3,0.0,0.0,1.034762,1.034762
h0003,h0003.mp3,6.870125,3,1.0,3.203152,4.26619,1.063039
h0003,h0003.mp3,6.870125,3,2.0,5.020408,6.03966,1.019252
h0004,h0004.mp3,6.79175,3,0.0,0.0,1.02737,1.02737
h0004,h0004.mp3,6.79175,3,1.0,3.179093,4.199184,1.020091
h0004,h0004.mp3,6.79175,3,2.0,4.967324,5.978753,1.011429
h0005,h0005.mp3,8.38525,3,0.0,0.0,1.038594,1.038594
h0005,h0005.mp3,8.38525,3,1.0,3.303061,4.337029,1.033968
h0005,h0005.mp3,8.38525,3,2.0,5.788163,6.798594,1.010431
h0006,h0006.mp3,7.31425,3,0.0,0.0,1.038594,1.038594
h0006,h0006.mp3,7.31425,3,1.0,3.355079,4.374558,1.019478
h0006,h0006.mp3,7.31425,3,2.0,5.291338,6.297846,1.006508
h0007,h0007.mp3,7.183625,3,0.0,0.0,1.032948,1.032948
h0007,h0007.mp3,7.183625,3,1.0,3.289274,4.300272,1.010998
h0007,h0007.mp3,7.183625,3,2.0,5.221497,6.229456,1.007959
h0008,h0008.mp3,6.817875,3,0.0,0.0,1.029637,1.029637
h0008,h0008.mp3,6.817875,3,1.0,2.848027,3.867574,1.019546
h0008,h0008.mp3,6.817875,3,2.0,4.800703,5.802812,1.002109
h0009,h0009.mp3,7.31425,3,0.0,0.0,1.031814,1.031814
h0009,h0009.mp3,7.31425,3,1.0,3.372766,4.394308,1.021542
h0009,h0009.mp3,7.31425,3,2.0,5.317619,6.339297,1.021678
h0010,h0010.mp3,7.1575,3,0.0,0.0,1.025737,1.025737
h0010,h0010.mp3,7.1575,3,1.0,3.220816,4.245782,1.024966
h0010,h0010.mp3,7.1575,3,2.0,5.205306,6.214626,1.00932
h0011,h0011.mp3,7.52325,3,0.0,0.0,1.026757,1.026757
h0011,h0011.mp3,7.52325,3,1.0,3.16517,4.189728,1.024558
h0011,h0011.mp3,7.52325,3,2.0,5.344694,6.366145,1.021451
h0012,h0012.mp3,7.392625,3,0.0,0.0,1.025737,1.025737
h0012,h0012.mp3,7.392625,3,1.0,3.143447,4.162222,1.018776
h0012,h0012.mp3,7.392625,3,2.0,5.247438,6.299116,1.051678
h0013,h0013.mp3,7.706,3,0.0,0.0,1.025941,1.025941
h0013,h0013.mp3,7.706,3,1.0,3.368186,4.374875,1.006689
h0013,h0013.mp3,7.706,3,2.0,5.527642,6.567075,1.039433
h0014,h0014.mp3,7.1575,3,0.0,0.0,1.026395,1.026395
h0014,h0014.mp3,7.1575,3,1.0,3.49381,4.504127,1.010317
h0014,h0014.mp3,7.1575,3,2.0,5.243515,6.278571,1.035057
h0015,h0015.mp3,7.10525,3,0.0,0.0,1.030385,1.030385
h0015,h0015.mp3,7.10525,3,1.0,3.454104,4.479138,1.025034
h0015,h0015.mp3,7.10525,3,2.0,5.243039,6.280952,1.037914
h0016,h0016.mp3,6.870125,3,0.0,0.0,1.025442,1.025442
h0016,h0016.mp3,6.870125,3,1.0,3.380136,4.391882,1.011746
h0016,h0016.mp3,6.870125,3,2.0,5.099796,6.1022,1.002404
h0017,h0017.mp3,6.9485,3,0.0,0.0,1.028503,1.028503
h0017,h0017.mp3,6.9485,3,1.0,3.352744,4.357914,1.00517
h0017,h0017.mp3,6.9485,3,2.0,5.0878,6.145102,1.057302
h0018,h0018.mp3,6.974625,3,0.0,0.0,1.026916,1.026916
h0018,h0018.mp3,6.974625,3,1.0,3.265488,4.284694,1.019206
h0018,h0018.mp3,6.974625,3,2.0,5.100068,6.120612,1.020544
h0019,h0019.mp3,7.41875,3,0.0,0.0,1.025737,1.025737
h0019,h0019.mp3,7.41875,3,1.0,3.567098,4.569048,1.00195
h0019,h0019.mp3,7.41875,3,2.0,5.501542,6.518254,1.016712
h0020,h0020.mp3,8.881625,3,0.0,0.0,1.035692,1.035692
h0020,h0020.mp3,8.881625,3,1.0,3.282132,4.298776,1.016644
h0020,h0020.mp3,8.881625,3,2.0,6.06229,7.080839,1.018549
h0021,h0021.mp3,6.635,3,0.0,0.0,1.025193,1.025193
h0021,h0021.mp3,6.635,3,1.0,3.16229,4.17093,1.008639
h0021,h0021.mp3,6.635,3,2.0,4.855488,5.873628,1.018141
h0022,h0022.mp3,7.653875,3,0.0,0.0,1.032789,1.032789
h0022,h0022.mp3,7.653875,3,1.0,3.456984,4.477778,1.020794
h0022,h0022.mp3,7.653875,3,2.0,5.554286,6.59034,1.036054
h0023,h0023.mp3,8.045625,3,0.0,0.0,1.027211,1.027211
h0023,h0023.mp3,8.045625,3,1.0,3.450454,4.505397,1.054943
h0023,h0023.mp3,8.045625,3,2.0,5.772676,6.797007,1.024331
h0024,h0024.mp3,7.340375,3,0.0,0.0,1.025193,1.025193
h0024,h0024.mp3,7.340375,3,1.0,3.442154,4.449501,1.007347
h0024,h0024.mp3,7.340375,3,2.0,5.335034,6.342086,1.007052
h0025,h0025.mp3,7.79025,3,0.0,0.0,1.054785,1.054785
h0025,h0025.mp3,7.79025,3,1.0,3.233741,4.221043,0.987302
h0025,h0025.mp3,7.79025,3,2.0,5.446893,6.489342,1.042449
h0026,h0026.mp3,7.836625,3,0.0,0.0,1.029728,1.029728
h0026,h0026.mp3,7.836625,3,1.0,3.140862,4.171587,1.030726
h0026,h0026.mp3,7.836625,3,2.0,5.495079,6.512426,1.017347
h0027,h0027.mp3,7.706,3,0.0,0.0,1.027166,1.027166
h0027,h0027.mp3,7.706,3,1.0,3.354966,4.391565,1.036599
h0027,h0027.mp3,7.706,3,2.0,5.513424,6.541701,1.028277
h0028,h0028.mp3,7.235875,3,0.0,0.0,1.025737,1.025737
h0028,h0028.mp3,7.235875,3,1.0,3.354082,4.372268,1.018186
h0028,h0028.mp3,7.235875,3,2.0,5.238413,6.261156,1.022744
h0029,h0029.mp3,7.183625,3,0.0,0.0,1.026712,1.026712
h0029,h0029.mp3,7.183625,3,1.0,3.377528,4.394558,1.017029
h0029,h0029.mp3,7.183625,3,2.0,5.233016,6.267007,1.033991
h0030,h0030.mp3,6.922375,3,0.0,0.0,1.026621,1.026621
h0030,h0030.mp3,6.922375,3,1.0,3.164286,4.168844,1.004558
h0030,h0030.mp3,6.922375,3,2.0,5.013379,6.031837,1.018458
h0031,h0031.mp3,7.52325,3,0.0,0.0,1.026712,1.026712
h0031,h0031.mp3,7.52325,3,1.0,3.514739,4.543424,1.028685
h0031,h0031.mp3,7.52325,3,2.0,5.457007,6.472449,1.015442
h0032,h0032.mp3,7.836625,3,0.0,0.0,1.028594,1.028594
h0032,h0032.mp3,7.836625,3,1.0,3.512698,4.519569,1.006871
h0032,h0032.mp3,7.836625,3,2.0,5.564785,6.575488,1.010703
h0033,h0033.mp3,7.706,3,0.0,0.0,1.026168,1.026168
h0033,h0033.mp3,7.706,3,1.0,3.209365,4.234535,1.02517
h0033,h0033.mp3,7.706,3,2.0,5.460839,6.476281,1.015442
h0034,h0034.mp3,7.1575,3,0.0,0.0,1.026395,1.026395
h0034,h0034.mp3,7.1575,3,1.0,3.273741,4.28449,1.010748
h0034,h0034.mp3,7.1575,3,2.0,5.181973,6.202268,1.020295
h0035,h0035.mp3,7.00075,3,0.0,0.0,1.030113,1.030113
h0035,h0035.mp3,7.00075,3,1.0,2.902562,3.906553,1.003991
h0035,h0035.mp3,7.00075,3,2.0,4.908844,5.927098,1.018254
h0036,h0036.mp3,7.8105,3,0.0,0.0,1.027846,1.027846
h0036,h0036.mp3,7.8105,3,1.0,3.393583,4.399637,1.006054
h0036,h0036.mp3,7.8105,3,2.0,5.597007,6.624376,1.02737
h0037,h0037.mp3,7.41875,3,0.0,0.0,1.026939,1.026939
h0037,h0037.mp3,7.41875,3,1.0,3.298957,4.314785,1.015828
h0037,h0037.mp3,7.41875,3,2.0,5.265147,6.271043,1.005896
h0038,h0038.mp3,7.183625,3,0.0,0.0,1.030839,1.030839
h0038,h0038.mp3,7.183625,3,1.0,3.208299,4.233991,1.025692
h0038,h0038.mp3,7.183625,3,2.0,5.155125,6.171451,1.016327
h0039,h0039.mp3,7.706,3,0.0,0.0,1.026667,1.026667
h0039,h0039.mp3,7.706,3,1.0,3.255624,4.282449,1.026825
h0039,h0039.mp3,7.706,3,2.0,5.457438,6.471111,1.013673
h0040,h0040.mp3,6.817875,3,0.0,0.0,1.025374,1.025374
h0040,h0040.mp3,6.817875,3,1.0,2.89322,3.901837,1.008617
h0040,h0040.mp3,6.817875,3,2.0,4.853968,5.86034,1.006372
h0041,h0041.mp3,7.68,3,0.0,0.0,1.030408,1.030408
h0041,h0041.mp3,7.68,3,1.0,3.233152,4.242971,1.009819
h0041,h0041.mp3,7.68,3,2.0,5.406644,6.411315,1.004671
h0042,h0042.mp3,7.3665,3,0.0,0.0,1.029751,1.029751
h0042,h0042.mp3,7.3665,3,1.0,3.14356,4.152086,1.008526
h0042,h0042.mp3,7.3665,3,2.0,5.222222,6.227075,1.004853
h0043,h0043.mp3,7.732125,3,0.0,0.0,1.027551,1.027551
h0043,h0043.mp3,7.732125,3,1.0,3.391565,4.400454,1.008889
h0043,h0043.mp3,7.732125,3,2.0,5.525556,6.532494,1.006939
h0044,h0044.mp3,7.262,3,0.0,0.0,1.025057,1.025057
h0044,h0044.mp3,7.262,3,1.0,3.016621,4.02542,1.008798
h0044,h0044.mp3,7.262,3,2.0,5.101361,6.111451,1.010091
h0045,h0045.mp3,7.96725,3,0.0,0.0,1.027279,1.027279
h0045,h0045.mp3,7.96725,3,1.0,3.09932,4.115215,1.015896
h0045,h0045.mp3,7.96725,3,2.0,5.534331,6.542494,1.008163
h0046,h0046.mp3,7.079125,3,0.0,0.0,1.027506,1.027506
h0046,h0046.mp3,7.079125,3,1.0,3.280567,4.287052,1.006485
h0046,h0046.mp3,7.079125,3,2.0,5.14746,6.158005,1.010544
h0047,h0047.mp3,6.974625,3,0.0,0.0,1.026032,1.026032
h0047,h0047.mp3,6.974625,3,1.0,3.217143,4.225329,1.008186
h0047,h0047.mp3,6.974625,3,2.0,5.016553,6.029932,1.013379
h0048,h0048.mp3,7.262,3,0.0,0.0,1.026644,1.026644
h0048,h0048.mp3,7.262,3,1.0,3.119206,4.127732,1.008526
h0048,h0048.mp3,7.262,3,2.0,5.12932,6.138707,1.009388
h0049,h0049.mp3,7.392625,3,0.0,0.0,1.025261,1.025261
h0049,h0049.mp3,7.392625,3,1.0,3.331247,4.34542,1.014172
h0049,h0049.mp3,7.392625,3,2.0,5.304535,6.310726,1.00619
h0050,h0050.mp3,6.58275,3,0.0,0.0,1.025578,1.025578
h0050,h0050.mp3,6.58275,3,1.0,2.710091,3.721361,1.01127
h0050,h0050.mp3,6.58275,3,2.0,4.603787,5.607619,1.003832
h0051,h0051.mp3,8.202375,3,0.0,0.0,1.03458,1.03458
h0051,h0051.mp3,8.202375,3,1.0,3.958345,4.988912,1.030567
h0051,h0051.mp3,8.202375,3,2.0,6.067823,7.082812,1.014989
h0052,h0052.mp3,7.497125,3,0.0,0.0,1.041111,1.041111
h0052,h0052.mp3,7.497125,3,1.0,3.195918,4.204104,1.008186
h0052,h0052.mp3,7.497125,3,2.0,5.369252,6.392222,1.022971
h0053,h0053.mp3,7.86275,3,0.0,0.0,1.09941,1.09941
h0053,h0053.mp3,7.86275,3,1.0,3.279274,4.35576,1.076485
h0053,h0053.mp3,7.86275,3,2.0,5.635941,6.655238,1.019297
h0054,h0054.mp3,7.784375,3,0.0,0.0,1.04551,1.04551
h0054,h0054.mp3,7.784375,3,1.0,3.332063,4.496372,1.164308
h0054,h0054.mp3,7.784375,3,2.0,5.617506,6.703469,1.085964
h0055,h0055.mp3,6.817875,3,0.0,0.0,1.038571,1.038571
h0055,h0055.mp3,6.817875,3,1.0,3.333537,4.337687,1.00415
h0055,h0055.mp3,6.817875,3,2.0,5.062404,6.092109,1.029705
h0056,h0056.mp3,7.471,3,0.0,0.0,1.027075,1.027075
h0056,h0056.mp3,7.471,3,1.0,3.4461,4.546621,1.100522
h0056,h0056.mp3,7.471,3,2.0,5.468889,6.474739,1.00585
h0057,h0057.mp3,7.3665,3,0.0,0.0,1.035828,1.035828
h0057,h0057.mp3,7.3665,3,1.0,3.300091,4.329116,1.029025
h0057,h0057.mp3,7.3665,3,2.0,5.307324,6.380136,1.072812
h0058,h0058.mp3,7.026875,3,0.0,0.0,1.035782,1.035782
h0058,h0058.mp3,7.026875,3,1.0,3.178549,4.249637,1.071088
h0058,h0058.mp3,7.026875,3,2.0,5.12542,6.153537,1.028118
h0059,h0059.mp3,6.68725,3,0.0,0.0,1.029887,1.029887
h0059,h0059.mp3,6.68725,3,1.0,2.779796,3.815034,1.035238
h0059,h0059.mp3,6.68725,3,2.0,4.712472,5.736735,1.024263
h0060,h0060.mp3,7.026875,3,0.0,0.0,1.028186,1.028186
h0060,h0060.mp3,7.026875,3,1.0,3.063288,4.074104,1.010816
h0060,h0060.mp3,7.026875,3,2.0,5.052721,6.05932,1.006599
h0061,h0061.mp3,7.183625,3,0.0,0.0,1.032608,1.032608
h0061,h0061.mp3,7.183625,3,1.0,3.272086,4.272154,1.000068
h0061,h0061.mp3,7.183625,3,2.0,5.212834,6.230635,1.0178
h0062,h0062.mp3,10.5795,3,0.0,0.0,1.026304,1.026304
h0062,h0062.mp3,10.5795,3,1.0,3.510476,4.514444,1.003968
h0062,h0062.mp3,10.5795,3,2.0,7.04551,8.066236,1.020726
h0063,h0063.mp3,9.482375,3,0.0,0.0,1.025488,1.025488
h0063,h0063.mp3,9.482375,3,1.0,3.326984,4.331383,1.004399
h0063,h0063.mp3,9.482375,3,2.0,6.50068,7.515351,1.014671
h0064,h0064.mp3,8.986,3,0.0,0.0,1.027732,1.027732
h0064,h0064.mp3,8.986,3,1.0,2.925646,3.93127,1.005624
h0064,h0064.mp3,8.986,3,2.0,5.964807,6.974739,1.009932
h0065,h0065.mp3,9.848125,3,0.0,0.0,1.026576,1.026576
h0065,h0065.mp3,9.848125,3,1.0,3.937415,4.942109,1.004694
h0065,h0065.mp3,9.848125,3,2.0,6.829751,7.912358,1.082608
h0066,h0066.mp3,7.706,3,0.0,0.0,1.028118,1.028118
h0066,h0066.mp3,7.706,3,1.0,3.398594,4.408367,1.009773
h0066,h0066.mp3,7.706,3,2.0,5.526961,6.527664,1.000703
h0067,h0067.mp3,10.762375,3,0.0,0.0,1.023787,1.023787
h0067,h0067.mp3,10.762375,3,1.0,3.528118,4.515397,0.987279
h0067,h0067.mp3,10.762375,3,2.0,7.132902,8.120612,0.98771
h0068,h0068.mp3,6.922375,3,0.0,0.0,1.028957,1.028957
h0068,h0068.mp3,6.922375,3,1.0,3.398118,4.400181,1.002063
h0068,h0068.mp3,6.922375,3,2.0,5.08873,6.096259,1.007528
h0069,h0069.mp3,7.3665,3,0.0,0.0,1.025941,1.025941
h0069,h0069.mp3,7.3665,3,1.0,3.710998,4.705964,0.994966
h0069,h0069.mp3,7.3665,3,2.0,5.492857,6.495601,1.002744
h0070,h0070.mp3,5.903625,3,0.0,0.0,1.033129,1.033129
h0070,h0070.mp3,5.903625,3,1.0,2.324649,3.332812,1.008163
h0070,h0070.mp3,5.903625,3,2.0,4.069388,5.078186,1.008798
h0071,h0071.mp3,7.131375,3,0.0,0.0,1.025079,1.025079
h0071,h0071.mp3,7.131375,3,1.0,3.388639,4.434694,1.046054
h0071,h0071.mp3,7.131375,3,2.0,5.234376,6.248186,1.01381
h0072,h0072.mp3,8.881625,3,0.0,0.0,1.027188,1.027188
h0072,h0072.mp3,8.881625,3,1.0,3.463628,4.282993,0.819365
h0072,h0072.mp3,8.881625,3,2.0,6.169116,7.176122,1.007007
