,book,total_hb_words,has_a_greek_mapped,has_a_latvian_mapped,leftover_greek,leftover_latvian,chapters,greek_pct,latvian_pct
0,1_chronicles,11047,10220,8923,378,455,29,92.51380465284693,80.7730605594279
1,1_kings,13294,11867,7296,1306,133,22,89.26583421092222,54.88190160974876
2,1_samuel,13506,12014,9434,1902,822,31,88.9530579001925,69.85043684288465
3,2_chronicles,13518,12561,7812,725,157,36,92.92055037727475,57.78961384820239
4,2_kings,12436,11650,8199,585,477,25,93.67963975554841,65.92955934384047
5,2_samuel,11276,10632,8400,843,670,24,94.28875487761617,74.49450159631074
6,amos,2075,1969,1769,86,229,9,94.89156626506025,85.25301204819277
7,daniel,6063,5411,3070,325,82,12,89.2462477321458,50.634999175325746
8,deuteronomy,14488,13558,8556,995,243,34,93.58089453340696,59.05577029265599
9,ecclesiastes,3002,2947,2651,32,278,12,98.16788807461693,88.30779480346436
10,esther,3080,2049,2270,523,124,10,66.52597402597402,73.7012987012987
11,exodus,16890,14364,8559,1818,131,40,85.04440497335702,50.67495559502664
12,ezekiel,19050,16686,9567,1063,149,48,87.59055118110236,50.22047244094489
13,ezra,3925,3574,3215,75,221,10,91.05732484076434,81.91082802547771
14,genesis,20721,19479,16979,1623,1043,50,94.00608078760678,81.9410260122581
15,habakkuk,681,658,602,41,93,3,96.62261380323054,88.39941262848751
16,haggai,608,570,499,71,26,2,93.75,82.07236842105263
17,hosea,2406,2326,2050,144,358,14,96.67497921862011,85.20365752285952
18,isaiah,17196,14941,14125,1844,400,66,86.88648522912305,82.14119562688997
19,jeremiah,22279,18771,17195,965,472,52,84.25423044122267,77.18030432245612
20,job,8438,7311,5276,1059,105,42,86.64375444418108,62.52666508651339
21,joel,964,945,808,30,69,3,98.02904564315352,83.81742738589212
22,jonah,691,662,567,30,69,4,95.80318379160637,82.05499276411
23,joshua,10177,8718,7991,826,980,24,85.66375159673775,78.52019259113688
24,judges,9997,9487,8167,795,847,21,94.89846954086227,81.69450835250575
25,lamentations,1653,1507,1403,71,127,5,91.16757410768301,84.87598306110102
26,leviticus,12059,11363,7733,838,296,27,94.2283771457003,64.12637863836139
27,malachi,883,863,743,65,125,4,97.73499433748584,84.14496036240091
28,micah,1416,1376,1232,80,140,7,97.17514124293785,87.00564971751412
29,nahum,565,550,489,17,44,3,97.34513274336283,86.54867256637168
30,nehemiah,5455,4920,4624,115,450,13,90.19248395967003,84.76626947754355
31,numbers,16581,15252,9276,1013,245,36,91.9848018816718,55.943549846209514
32,obadiah,292,282,212,2,8,1,96.57534246575342,72.6027397260274
33,proverbs,7036,6337,5407,1068,214,31,90.06537805571348,76.847640704946
34,psalms,19662,19238,16843,969,1006,150,97.84355609805716,85.6626996236395
35,ruth,1307,1260,784,74,14,4,96.40397857689365,59.984697781178276
36,songs,1274,1235,907,69,29,8,96.93877551020408,71.19309262166405
37,zechariah,3171,3021,2023,135,44,14,95.26963103122044,63.796909492273734
38,zephaniah,774,730,502,55,26,3,94.31524547803618,64.85788113695091
